,Zillow URL,Address,Price,Latitude,Longitude,Zestimate,Year Built,Garage,Beds,Baths,Sqft
87,https://www.zillow.com/homedetails/4584-W-87th-Ave-Westminster-CO-80031/12993431_zpid/,"4584 W 87th Ave, Westminster, CO 80031",450000.00,39.839128,-105.044903,"$434,121 ",1971,1,4,2,1740
88,https://www.zillow.com/homedetails/3760-Ute-Mountain-Trl-Castle-Rock-CO-80109/63128677_zpid/,"3760 Ute Mountain Trl, Castle Rock, CO 80109",385000.00,39.40086746,-104.9061127,"$400,251 ",2004,2,3,3,1409
89,https://www.zillow.com/homedetails/400-S-Miller-St-Lakewood-CO-80226/13773735_zpid/,"400 S Miller St, Lakewood, CO 80226",345000.00,39.699091,-105.13928,"$469,107 ",1954,1,3,2,1188
90,https://www.zillow.com/homedetails/4765-S-Elati-St-Englewood-CO-80110/13148335_zpid/,"4765 S Elati St, Englewood, CO 80110",599000.00,39.63004684,-104.9941025,"$391,006 ",1956,1,4,2,1951
91,https://www.zillow.com/homedetails/8511-Franklin-St-Denver-CO-80229/12987916_zpid/,"8511 Franklin St, Denver, CO 80229",455000.00,39.85100937,-104.9686584,"$440,357 ",1962,3,4,3,1247
92,https://www.zillow.com/homedetails/6000-Ponderosa-Way-Parker-CO-80134/13478015_zpid/,"6000 Ponderosa Way, Parker, CO 80134",575000.00,39.450623,-104.701694,"$664,492 ",1977,2,3,3,2705
93,https://www.zillow.com/homedetails/2556-S-Flanders-Ct-Aurora-CO-80013/54643741_zpid/,"2556 S Flanders Ct, Aurora, CO 80013",524900.00,39.645374,-104.80143,"$569,950 ",2002,2,3,3,2578
94,https://www.zillow.com/homedetails/2430-Saulsbury-St-Lakewood-CO-80214/13747604_zpid/,"2430 Saulsbury St, Lakewood, CO 80214",395000.00,39.728159,-105.065309,"$352,958 ",1940,0,1,1,420
95,https://www.zillow.com/homedetails/736-Evening-Star-Ct-Castle-Rock-CO-80108/13484014_zpid/,"736 Evening Star Ct, Castle Rock, CO 80108",1500000.00,39.43587112,-104.9128189,"$1,450,709 ",1999,3,4,4,5266
96,https://www.zillow.com/homedetails/2717-Rockbridge-Cir-Highlands-Ranch-CO-80129/13437980_zpid/,"2717 Rockbridge Cir, Highlands Ranch, CO 80129",875000.00,39.55680466,-105.0209045,"$855,815 ",2001,3,3,2,3019
97,https://www.zillow.com/homedetails/12550-Watkins-Rd-Hudson-CO-80642/2071239029_zpid/,"12550 Watkins Rd, Hudson, CO 80642",1599900.00,39.92351151,-104.5988083,,2021,4,7,7,6930
98,https://www.zillow.com/homedetails/12297-Kittredge-St-Brighton-CO-80603/61505626_zpid/,"12297 Kittredge St, Brighton, CO 80603",555000.00,39.888411,-104.778983,"$550,743 ",2004,3,4,4,4361
99,https://www.zillow.com/homedetails/2340-Panorama-Ave-Boulder-CO-80304/13181615_zpid/,"2340 Panorama Ave, Boulder, CO 80304",1150000.00,40.022836,-105.275048,"$1,109,921 ",1952,0,2,1,1204
100,https://www.zillow.com/homedetails/128-Garfield-St-Denver-CO-80206/68050995_zpid/,"128 Garfield St, Denver, CO 80206",1850000.00,39.71843719,-104.9434052,"$1,922,762 ",2005,2,4,5,4656
101,https://www.zillow.com/homedetails/8505-E-Temple-Dr-UNIT-447-Denver-CO-80237/13426479_zpid/,"8505 E Temple Dr UNIT 447, Denver, CO 80237",689500.00,39.63518143,-104.8875504,"$711,796 ",1984,2,3,4,2450
102,https://www.zillow.com/homedetails/9882-Independence-St-Westminster-CO-80021/13685678_zpid/,"9882 Independence St, Westminster, CO 80021",490000.00,39.87612534,-105.1047592,"$550,813 ",1985,2,3,3,1777
103,https://www.zillow.com/homedetails/7930-Alkire-St-Arvada-CO-80005/13699568_zpid/,"7930 Alkire St, Arvada, CO 80005",1450000.00,39.84104156,-105.1469116,"$1,225,875 ",1989,5,3,3,2700
104,https://www.zillow.com/homedetails/19156-Randolph-Pl-Denver-CO-80249/247389688_zpid/,"19156 Randolph Pl, Denver, CO 80249",550000.00,39.792611,-104.743212,"$561,105 ",2016,2,8,6,4277
105,https://www.zillow.com/homedetails/2232-S-Dearborn-St-Aurora-CO-80014/13080771_zpid/,"2232 S Dearborn St, Aurora, CO 80014",450000.00,39.67625427,-104.8182907,"$470,611 ",1978,2,3,3,2193
